"TITULO";"AUTHOR";"EDITORIAL";"PRICE";"CATEGORIA";"DESCRIPCION";"PORTADA";"STADO"
"Diablo";"Jack London";"Diario Popular";450.0;0.0;0.0;0.0;"Usado"
"Los elefantes pueden recordar";"Agatha Christie";"Molino";550.0;0.0;0.0;0.0;"Usado"
"Srita. Marple y 13 problemas";"Agatha Christie";"Molino";550.0;0.0;0.0;0.0;"Usado"
"Los arboles mueren de pie";"Alejandro Casona";"Losada";300.0;0.0;0.0;0.0;"Usado"
"Vicente y la musica de las cosas";"Maryse Pelletier";"Cantaro";550.0;0.0;0.0;0.0;"Usado"
"Cuentos - Oscar Wilde";"Oscar Wilde";"Grupo Norma";500.0;0.0;0.0;0.0;"Usado"
"12 cuentos extraños";"Osvaldo Svanascini";"///";500.0;0.0;0.0;0.0;"Usado"
"27 cuentos del norte argentino";"Autores varios";"Ateneas";800.0;0.0;0.0;0.0;"Usado"
"Antologia cuentos seleccionados";"Salta - Jujuy - Catamarca";"F. Banco Noroeste";400.0;0.0;0.0;0.0;"Usado"
"Cuentos argentinos del siglo XX";"Antología de Susana I. Rovere";"Huemul";500.0;0.0;0.0;0.0;"Usado"
"Cuentos para seguir creciendo";"Compilador Mempo Giardinelli";"Eueba";300.0;0.0;0.0;0.0;"Usado"
"Antologia 1998";"///";"Grupo Editor Sur";500.0;0.0;0.0;0.0;"Usado"
"Bajo un solo techo";"///";"///";0.0;0.0;0.0;0.0;"Usado"
"Poesia y prosa";"Baldomero Fernández Moreno";"Capitulo";400.0;0.0;0.0;0.0;"Usado"
"Rimas y Leyendas";"Gustavo A. Becquer";"Siete dias";450.0;0.0;0.0;0.0;"Usado"
"Cordoba y sus sierras";"Fernandez Moreno";"Kapeluz";0.0;0.0;0.0;0.0;"Usado"
"Fausto";"Estanislao Del Campo";"Abril";400.0;0.0;0.0;0.0;"Usado"
"Iluminaciones";"Arthur Rimbaud";"Colihue";600.0;0.0;0.0;0.0;"Nuevo"
"Juglares de hoy";"Varios Autores";"Cantaro";400.0;0.0;0.0;0.0;"Usado"
"La poesia argentina";"Lugores - Fernandez - Molinari ";"Capitulo";400.0;0.0;0.0;0.0;"Usado"
"Lorca Antologia";"Federico G. Lorca";"Losada";400.0;0.0;0.0;0.0;"Usado"
"Martin Fierro - Parte 2";"Jose Hernandez";"Abril";400.0;0.0;0.0;0.0;"Usado"
"Me fui de vos";"Sussy Efron";"///";450.0;0.0;0.0;0.0;"Usado"
"Canto general";"Pablo Neruda";"Debolsillo";800.0;0.0;0.0;0.0;"Nuevo"
"Ochenta sonetos y otros poemas";"Domingo Arabia";"///";350.0;0.0;0.0;0.0;"Usado"
"Otro poema desaparecido";"Damian San Martin";"Noutse";800.0;0.0;0.0;0.0;"Usado"
"Piojos en el alma";"Damian San Martin";"///";500.0;0.0;0.0;0.0;"Usado"
"Poesia siempre";"Graciela Komerovsky";"Troquel";0.0;0.0;0.0;0.0;"Usado"
"Por la patria y por lo nuestro";"Roberto Coppari";"///";400.0;0.0;0.0;0.0;"Usado"
"Sueños cimarrones";"Roberto Coppari";"///";400.0;0.0;0.0;0.0;"Usado"
"Abel Sanchez";"Miguel de Unamuno";"Austral";400.0;0.0;0.0;0.0;"Usado"
"Miguel de Unamuno ";"Poesia completa";"Alianza tres";900.0;0.0;0.0;0.0;"Usado"
"La poesia Universal";"Aquilino Sanchez";"///";0.0;0.0;0.0;0.0;"Usado"
"Desgracia";"J. M. Coetzee";"Random House";600.0;0.0;0.0;0.0;"Usado"
"El inmoralista";"André Gide";"Random House";600.0;0.0;0.0;0.0;"Usado"
"La pianista";"Elfriede Jelinek";"Random House";600.0;0.0;0.0;0.0;"Usado"
"Momentos literarios";"V.S. Naipaul";"Random House";600.0;0.0;0.0;0.0;"Usado"
"Mas alla del olvido";"Patrick Modiano";"Random House";600.0;0.0;0.0;0.0;"Usado"
"Sueños: cómo interpretar sus mensajes";"Alejandro Parra";" Kier";550.0;0.0;0.0;0.0;"Usado"
"Nuevo diccionario de sueños";"Rodolfo Cardozo";" Lea";550.0;0.0;0.0;0.0;"Usado"
"Qué mensajes me dan los sueños";"/// ";"Clarin";450.0;0.0;0.0;0.0;"Usado"
"Invoca a tu angel";"Susana Woods";"Del Club";600.0;0.0;0.0;0.0;"Usado"
"Manual de numerología";"Danny Martinez";"Andromeda";600.0;0.0;0.0;0.0;"Usado"
"Como un hombre piensa la vida";"James Alen";"Obelisco";0.0;0.0;0.0;0.0;"Usado"
"Urania";"Le Clezio Jean Marie";"El cuenco de Plata";600.0;0.0;0.0;0.0;"Nuevo"
"Antígona - Edipo rey - Electra - Edipo en Colono";"Sofocles";"Planeta";800.0;0.0;0.0;0.0;"Usado"
"Yo, el peor de todos";"Jorge Rial";"Planeta";600.0;0.0;0.0;0.0;"Usado"
"Periplo";"Juan Fillioy";"///";600.0;0.0;0.0;0.0;"Nuevo"
"El secreto mas grande del mundo";"OG Mandino";"Vergara";700.0;0.0;0.0;0.0;"Usado"
"El nombre de la rosa";"Umberto Eco";"RBA";1300.0;0.0;0.0;0.0;"Usado"
"Los amotinados del Bounty";"Julio Verne";"Andrés Bello";650.0;0.0;0.0;0.0;"Nuevo"
"Narnia: La silla de plata";"C. S. Lewis";"Destino";1400.0;0.0;0.0;0.0;"Usado"
"Narnia: La travesía del viajero del alba";"C. S. Lewis";"Destino";1400.0;0.0;0.0;0.0;"Usado"
"Narnia: El caballo y el muchacho";"C. S. Lewis";"Destino";1400.0;0.0;0.0;0.0;"Usado"
"El síndrome de Anastasia y otros relatos";"Mary Higgins Clark";"Plaza & James";550.0;0.0;0.0;0.0;"Usado"
"Mi querida Sunday";"Mary Higgins Clark";"Plaza & James";550.0;0.0;0.0;0.0;"Usado"
"La estrella robada";"Mary Higgins Clark";"Plaza & James";0.0;0.0;0.0;0.0;"Usado"
"Gracias por el fuego";"Mario Benedetti";"Alfa";600.0;0.0;0.0;0.0;"Usado"
"Muerte de un forense";"P. D. James";"Prosa";550.0;0.0;0.0;0.0;"Usado"
"La madre";"Pearl S. Buck";"Plaza & James";550.0;0.0;0.0;0.0;"Usado"
"Reencuentro";"Anne Rivers Siddons";"Emece";550.0;0.0;0.0;0.0;"Usado"
"Gente legal";"Lisa Scottoline";"Mondadori";550.0;0.0;0.0;0.0;"Usado"
"Un pequeño detalle";"Jessica Barksdale Inclán";"Vergara";600.0;0.0;0.0;0.0;"Usado"
"Robo para la corona";"Horacio Verbitsky";"Planeta";650.0;0.0;0.0;0.0;"Usado"
"Flores en la lluvia";"Rosamunde Pilcher";"Emece";550.0;0.0;0.0;0.0;"Usado"
"Retrato de familia";"Barbara Delinsky";"Emece";650.0;0.0;0.0;0.0;"Usado"
"Ella es tan dulce";"Susan Elizabeth Phillips";"Vergara";650.0;0.0;0.0;0.0;"Usado"
"Adicta al trabajo";"Julia London";"Esencia";650.0;0.0;0.0;0.0;"Usado"
"El trono codiciado";"Víctoria Holt";"Planeta";550.0;0.0;0.0;0.0;"Usado"
"Frivolidad";"Juan Forn";"Planeta";800.0;0.0;0.0;0.0;"Usado"
"La prostituta de Pentecost Alley";"Anne Perry";"Plaza & James";600.0;0.0;0.0;0.0;"Usado"
"No hay un amor más grande";"Danielle Steel";"Debolsillo";0.0;0.0;0.0;0.0;"Usado"
