TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
"La guerra del futbol","Ryszard Kapuscinski",Anagrama,650,NULL,NULL,NULL,Nuevo
"La izquierda divina","Jean Baudrillard",Anagrama,650,NULL,NULL,NULL,Nuevo
"Cuentos de la selva","Horacio Quiroga",Agebe,650,NULL,NULL,NULL,Nuevo
"La mesa limon y otros cuentos","Julian Barnes",Anagrama,650,NULL,NULL,NULL,Nuevo
"La universidad desconocida","Roberto Bolaño",Anagrama,650,NULL,NULL,NULL,Nuevo
"Las cartas de Groucho","Groucho Marx",Anagrama,650,NULL,NULL,NULL,Nuevo
"Las decadas purpuras","Tom Wolfe",Anagrama,650,NULL,NULL,NULL,Nuevo
"Los ultimos 3 dias de Fernando Pessoa","Antonio Tabucchi",Anagrama,650,NULL,NULL,NULL,Nuevo
"Mi hermosa lavanderia","Sam Shepard",Anagrama,650,NULL,NULL,NULL,Nuevo
"Nietzsche, Marx, Freud","Michel Foucault",Anagrama,650,NULL,NULL,NULL,Nuevo
"Placeres sencillos","Jane Bowles",Anagrama,650,NULL,NULL,NULL,Nuevo
"Prision perpetua","Ricardo Piglia",Anagrama,650,NULL,NULL,NULL,Nuevo
"Relatos de lo inesperado","Roald Dahl",Anagrama,650,NULL,NULL,NULL,Nuevo
Si,"Thomas Bernhard",Anagrama,650,NULL,NULL,NULL,Nuevo
"Sobre la historia natural de la destruccion","W. G. Sebald",Anagrama,650,NULL,NULL,NULL,Nuevo
"El gran sueño del paraiso","Sam Shepard",Anagrama,650,NULL,NULL,NULL,Nuevo
Varamo,"César Aira",Anagrama,650,NULL,NULL,NULL,Nuevo
"Virginia Woolf ataca de nuevo",Copi,Anagrama,650,NULL,NULL,NULL,Nuevo
"Visitando a Mr. Nabokov","Martin Amis",Anagrama,650,NULL,NULL,NULL,Nuevo
"Don Segundo Sombra","Ricardo Guiraldes",Clarin,500,NULL,NULL,NULL,Usado
"El aleph","Jorge Luis Borges",Clarin,500,NULL,NULL,NULL,Usado
"El casamiento de Laucha","Roberto J. Payro",Clarin,500,NULL,NULL,NULL,Usado
"El matadero y otros escritos","Esteban Echeverria",Clarin,500,NULL,NULL,NULL,Usado
Fausto,"Estanislao Del Campo",Clarin,500,NULL,NULL,NULL,Usado
Juvenilia,"Miguel Cane",Clarin,500,NULL,NULL,NULL,Usado
"Los siete locos","Roberto Arlt",Clarin,500,NULL,NULL,NULL,Usado
Rimas,"Gustavo A. Becquer",Cronica,450,NULL,NULL,NULL,Usado
"El candor del padre Brown 1 - 2","G. K. Chesterton","Pagina 12",450,NULL,NULL,NULL,Usado
"El decameron 1 - 2",Boccaccio,"Pagina 12",450,NULL,NULL,NULL,Usado
"El hombre que corrompio Hadleyburg","Mark Twain",Cronica,450,NULL,NULL,NULL,Usado
"El hombre que fue jueves","G. K. Chesterton",Cronica,450,NULL,NULL,NULL,Usado
"El mandarin","Jose M. Eca de Queiroz",Cronica,450,NULL,NULL,NULL,Usado
"El principe","Niccolo Machiavelli",Cronica,450,NULL,NULL,NULL,Usado
"El yaci-yatere","Horacio Quiroga","Pagina 12",450,NULL,NULL,NULL,Usado
"La gran aldea","Lucio Vicente Lopez",Cronica,450,NULL,NULL,NULL,Usado
"La muerte de Ivan Illich","Leon Tolstoi",Cronica,450,NULL,NULL,NULL,Usado
"La sombra fuera del espacio","H. P. Lovecraft","Pagina 12",450,NULL,NULL,NULL,Usado
"Los evangelios","Mateo Marcos Lucas Juan",Cronica,450,NULL,NULL,NULL,Usado
"Otra vuelta de tuerca","Henry James",Cronica,450,NULL,NULL,NULL,Usado
"Seis personajes en busca de autor","Luigi Pirandello",Cronica,450,NULL,NULL,NULL,Usado
"Vanina Vanini",Stendhal,"Pagina 12",450,NULL,NULL,NULL,Usado
"Billy Bud, marinero","Hermann Melville","Pagina 12",450,NULL,NULL,NULL,Usado
"Doña Rosita la soltera ","Federico G. Lorca","Pagina 12",450,NULL,NULL,NULL,Usado
"Cuentos de pago chico","Roberto Payro",Cronica,450,NULL,NULL,NULL,Usado
Candido,Voltaire,Cronica,450,NULL,NULL,NULL,Usado
"El duelo","Joseph Conrad","Diario Popular",450,NULL,NULL,NULL,Usado
"La luna roja","Roberto Arlt","Diario Popular",450,NULL,NULL,NULL,Usado
Diablo,"Jack London","Diario Popular",450,NULL,NULL,NULL,Usado
"Los elefantes pueden recordar","Agatha Christie",Molino,550,NULL,NULL,NULL,Usado
